"date-time","type","length","bbs_time","ins_time","sel_time","mer_time","qui_time"
"3/6/2020 3:12:1","parcialmente desordenado",200000,0.561993,0.000813,46.346966,0.039563,0.009020
"3/6/2020 3:17:4","desordenado",200000,106.642548,23.234308,46.416855,0.049750,0.024055
"3/6/2020 3:17:4","ordenado",200000,0.000438,0.000714,46.491264,0.028242,0.008108
"3/6/2020 3:17:4","parcialmente desordenado",200000,33.373405,0.000989,46.371803,0.028319,0.008790
"3/6/2020 4:23:40","desordenado",500000,679.841919,142.103775,289.100006,0.124496,0.065749
"3/6/2020 4:23:40","ordenado",500000,0.001370,0.003723,289.106537,0.069490,0.022571
"3/6/2020 4:23:40","parcialmente desordenado",500000,156.586533,0.004091,290.344818,0.066316,0.023176
"3/6/2020 4:39:25","desordenado",354874,337.562500,71.074501,144.783875,0.088933,0.045711
"3/6/2020 4:39:25","ordenado",324688,0.000716,0.002340,120.539299,0.041781,0.014248
"3/6/2020 4:39:25","parcialmente desordenado",352467,128.566910,0.003144,142.362381,0.046415,0.018038
"8/6/2020 18:39:46","desordenado",10,0.000001,0.000001,0.000001,0.000002,0.000001
"8/6/2020 18:39:46","ordenado",10,0.000001,0.000001,0.000001,0.000002,0.000001
"8/6/2020 18:39:46","parcialmente desordenado",10,0.000001,0.000001,0.000001,0.000002,0.000002
"8/6/2020 18:39:59","desordenado",100,0.000024,0.000008,0.000016,0.000013,0.000010
"8/6/2020 18:39:59","ordenado",100,0.000001,0.000001,0.000055,0.000042,0.000004
"8/6/2020 18:39:59","parcialmente desordenado",100,0.000002,0.000004,0.000015,0.000016,0.000005
"8/6/2020 18:40:7","desordenado",1000,0.001644,0.000601,0.001186,0.000207,0.000092
"8/6/2020 18:40:7","ordenado",1000,0.000003,0.000004,0.001163,0.000085,0.000027
"8/6/2020 18:40:7","parcialmente desordenado",1000,0.002073,0.000009,0.001352,0.000088,0.000034
"8/6/2020 18:40:15","desordenado",10000,0.238785,0.061036,0.122614,0.002982,0.000951
"8/6/2020 18:40:15","ordenado",10000,0.000026,0.000051,0.119421,0.001004,0.000314
"8/6/2020 18:40:15","parcialmente desordenado",10000,0.080783,0.000048,0.120391,0.001299,0.000324
"8/6/2020 18:41:44","desordenado",100000,28.678873,6.854113,11.963376,0.023493,0.014309
"8/6/2020 18:41:44","ordenado",100000,0.000335,0.000368,11.940102,0.015745,0.004897
"8/6/2020 18:41:44","parcialmente desordenado",100000,10.695253,0.000579,11.924920,0.014523,0.004739
"8/6/2020 21:10:2","desordenado",1000000,3054.296875,672.679321,1310.838501,0.384207,0.154016
"8/6/2020 21:10:2","ordenado",1000000,0.014954,0.034445,1299.039307,0.191146,0.061240
"8/6/2020 21:10:2","parcialmente desordenado",1000000,1153.429688,0.043991,1367.561523,0.203336,0.072653
